"TIME","GEO","WASTE","STK_FLOW","WST_OPER","UNIT","Value"
"2011","United Kingdom","Plastic packaging","Domestic","Recovery","Tonne","884 155"
"2011","Iceland","Plastic packaging","Domestic","Waste generated","Tonne","10 894"
"2011","Iceland","Plastic packaging","Domestic","Recovery","Tonne","6 408"
"2011","Liechtenstein","Plastic packaging","Domestic","Waste generated","Tonne","688"
"2011","Liechtenstein","Plastic packaging","Domestic","Recovery","Tonne","688"
"2011","Norway","Plastic packaging","Domestic","Waste generated","Tonne","152 133"
"2011","Norway","Plastic packaging","Domestic","Recovery","Tonne","138 749"
"2012","European Union - 28 countries","Plastic packaging","Domestic","Waste generated","Tonne","15 101 072"
"2012","European Union - 28 countries","Plastic packaging","Domestic","Recovery","Tonne","9 871 773"
"2012","Belgium","Plastic packaging","Domestic","Waste generated","Tonne","320 423"
"2012","Belgium","Plastic packaging","Domestic","Recovery","Tonne","297 041"
"2012","Bulgaria","Plastic packaging","Domestic","Waste generated","Tonne","96 123"
"2012","Bulgaria","Plastic packaging","Domestic","Recovery","Tonne","42 416"
"2012","Czechia","Plastic packaging","Domestic","Waste generated","Tonne","211 660"
"2012","Czechia","Plastic packaging","Domestic","Recovery","Tonne","142 491"
"2012","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","183 697"
"2012","Denmark","Plastic packaging","Domestic","Recovery","Tonne","182 524"
"2012","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 836 700"
"2012","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 826 900"
"2012","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","47 590"
"2012","Estonia","Plastic packaging","Domestic","Recovery","Tonne","20 922"
"2012","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","168 582"
"2012","Ireland","Plastic packaging","Domestic","Recovery","Tonne","125 304"
"2012","Greece","Plastic packaging","Domestic","Waste generated","Tonne","184 920"
"2012","Greece","Plastic packaging","Domestic","Recovery","Tonne","59 580"
"2012","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 304 464"
"2012","Spain","Plastic packaging","Domestic","Recovery","Tonne","693 558"
"2012","France","Plastic packaging","Domestic","Waste generated","Tonne","1 997 820"
"2012","France","Plastic packaging","Domestic","Recovery","Tonne","1 277 829"
"2012","Croatia","Plastic packaging","Domestic","Waste generated","Tonne","48 263"
"2012","Croatia","Plastic packaging","Domestic","Recovery","Tonne","21 902"
